Income,Expenditure,Savings,Investments,Risk_Profile,Debt_Level,Age,Employment_Status,Credit_Score,Marital_Status,Geographic_Location,Cluster
255796,94807.97994623864,83237.00026827898,49316.408678006315,Conservative,79820.38257439419,41,Unemployed,706,Married,Suburban,2
234176,95073.40589476131,43986.55401121119,25630.252651079398,Moderate,61550.28533824991,49,Freelancer,325,Married,Urban,2
204779,145263.56769966247,40289.96796835253,46713.489573193845,Moderate,12854.595760451048,51,Employed,536,Married,Suburban,1
367449,169490.9914658437,30098.54927905432,26136.53390284273,Moderate,62231.32974558777,19,Unemployed,609,Married,Rural,2
441909,137631.19365068615,91655.56254479902,14579.406408057866,Moderate,5595.586041462663,19,Unemployed,532,Divorced,Suburban,0
485148,182850.13433957298,212554.70500778893,13344.964404938592,Aggressive,88529.91112711924,27,Unemployed,848,Married,Urban,0
278795,114809.79313269955,43180.540565997406,46475.28526840744,Moderate,48182.133541419746,40,Freelancer,564,Divorced,Urban,2
412752,321394.0683121334,149760.60767391167,8622.319448692955,Conservative,69747.28319758002,32,Freelancer,312,Divorced,Suburban,0
176730,103655.8058674745,58909.89783044887,28981.62291009091,Conservative,5224.366369596401,29,Freelancer,795,Divorced,Urban,1
366622,280966.4047674428,160788.7043402758,27776.25340313598,Conservative,53424.842292282534,60,Employed,615,Single,Urban,0
404681,237783.13992116236,44324.538524516414,36981.084232649744,Aggressive,30126.339785336255,34,Employed,683,Married,Suburban,0
169503,91476.90783334315,83042.14397176463,24962.145376238735,Conservative,28496.826573724564,35,Freelancer,615,Married,Suburban,1
150523,68768.51663080446,46990.70525957028,13614.28303540671,Conservative,38965.59147031825,31,Employed,555,Divorced,Urban,1
22747,13720.659936512999,11327.172744544843,8469.824981578928,Conservative,63.94608605349017,34,Freelancer,740,Single,Suburban,1
143855,53168.665915677375,66199.42790024438,31040.94017529459,Aggressive,46666.08817201735,32,Employed,414,Married,Rural,1
472366,353863.9259188732,70705.0524915407,35949.53784266165,Conservative,48656.66836079383,29,Employed,598,Divorced,Suburban,0
85725,61264.760215368275,6452.769734532682,28476.063934101632,Aggressive,86313.09158390641,33,Freelancer,423,Single,Urban,2
149981,68806.14204200044,24752.503116934953,36917.563856059736,Conservative,44852.56078824824,49,Unemployed,555,Divorced,Rural,1
104654,81253.23622679293,30077.94075507338,7076.060122498006,Conservative,36355.62938676729,40,Unemployed,346,Single,Urban,1
448989,319949.7336805743,57119.64656350466,44123.50974715677,Conservative,99474.70513624634,55,Employed,762,Divorced,Urban,0
401490,254204.77579695504,50329.53577193725,29119.775420425154,Aggressive,57121.33246024963,51,Employed,649,Married,Rural,0
87435,31553.6263496192,22572.84005601258,6342.196344629858,Aggressive,47261.320863413945,51,Employed,422,Divorced,Suburban,1
339030,182776.84041699397,22026.978119496416,23096.26021028675,Conservative,49593.58345483794,33,Employed,330,Divorced,Urban,0
348947,192986.4564705546,36586.96633092468,42239.58689329557,Conservative,80918.12975088051,51,Employed,354,Single,Suburban,2
51551,21459.427537546853,12224.680558518598,44878.10967265801,Moderate,34067.636897016084,57,Employed,452,Single,Suburban,1
398360,135435.50724848575,31234.793784438483,13232.475249938076,Conservative,38916.04626859456,24,Freelancer,755,Married,Rural,0
293538,202060.35052069987,67085.10859282943,35563.29123552265,Conservative,75587.33593374654,50,Unemployed,585,Divorced,Urban,2
351236,126802.351783982,92481.42917200063,4999.262374188835,Conservative,7298.373961376948,21,Unemployed,335,Single,Rural,0
23890,14265.803015460397,6045.8417345930175,1677.2935706078906,Conservative,86516.91581432587,60,Freelancer,555,Married,Rural,2
61606,47327.2439031384,27176.17381932857,28019.947690997138,Conservative,43020.269646796994,69,Freelancer,477,Married,Urban,1
276840,204322.48075942104,79876.12052543473,34741.37896640629,Conservative,58129.29755056484,24,Unemployed,847,Single,Urban,0
493254,216477.49633740901,128537.65576761517,39789.3365588251,Conservative,75747.61592598351,35,Unemployed,553,Single,Rural,0
369457,268123.9296418889,86755.58255360097,17010.811922766734,Aggressive,26605.19224393448,21,Employed,807,Divorced,Rural,0
161699,48536.582953588506,67578.9471918057,326.2705214443495,Conservative,89031.42083206511,66,Unemployed,320,Married,Rural,2
290936,89853.8102888213,131728.68466358294,23975.96185556769,Moderate,97922.49722566108,28,Employed,374,Single,Urban,2
259931,156290.42321541987,112799.42571739419,792.6772686783489,Conservative,49427.43614061246,60,Employed,759,Married,Urban,0
259629,125244.79841913751,91673.95104015368,4599.225533539997,Moderate,93693.73650326733,37,Unemployed,477,Divorced,Rural,2
225041,110997.06707764781,25162.46110354139,16334.451126587419,Conservative,112.86225269827588,28,Employed,681,Single,Urban,1
194073,112993.28789566137,33883.49351515048,21858.60247800886,Moderate,89423.78296355283,32,Employed,336,Married,Urban,2
227624,90114.34483582084,16099.476463395897,13973.472061482427,Conservative,31104.531975130554,63,Freelancer,419,Single,Urban,1
437113,177414.4082977196,204949.5367510192,29093.26332523539,Aggressive,31149.542472760193,34,Unemployed,300,Divorced,Suburban,0
88148,47802.73034626945,30619.030957837465,2767.4894609047597,Conservative,22808.88647699394,51,Freelancer,610,Divorced,Suburban,1
272801,184720.8605752751,105263.89354159147,7228.9855119792355,Conservative,31701.390115090187,67,Employed,507,Divorced,Rural,0
144243,87952.00707814234,27436.069094651757,34762.92003777168,Aggressive,21348.45836986351,65,Employed,453,Divorced,Suburban,1
271995,122038.04317258949,117105.83840632158,7107.042679895886,Moderate,90586.91063099717,29,Freelancer,614,Single,Rural,2
402318,207261.59629051707,67115.28325276244,31988.76007852112,Conservative,89902.37272133664,59,Freelancer,606,Single,Rural,0
174555,67261.69346434748,8856.866710243645,2734.2310376682776,Aggressive,10221.131492062252,45,Freelancer,803,Married,Urban,1
406502,137119.1843938262,89181.14579256422,20369.11395595702,Conservative,14285.842886649247,65,Employed,819,Married,Rural,0
68555,47395.36353660757,21035.598997217174,8870.473506059117,Conservative,86201.86390106665,52,Unemployed,396,Single,Rural,2
276508,119643.27086990465,73389.97528984882,5481.814126759321,Aggressive,39893.7770872746,25,Employed,789,Single,Rural,1
299303,116393.90659152107,131075.03906572144,28351.639175061377,Conservative,16927.16773392783,44,Freelancer,306,Married,Rural,0
392654,253579.49799575776,38257.21321832475,46416.78860028109,Aggressive,51066.940243656725,39,Unemployed,311,Single,Urban,0
126530,77060.03917377883,37860.375974523384,2739.3523961774413,Conservative,41666.8049920095,41,Freelancer,813,Divorced,Urban,1
100077,61706.95910127472,28105.69547641213,21077.71241090171,Moderate,21916.15537379652,19,Employed,648,Divorced,Rural,1
318064,131820.76679796664,56178.63986672309,35376.77188727218,Moderate,72075.22182776344,48,Unemployed,306,Divorced,Suburban,2
480337,199975.23002829123,201742.8132099066,23134.39158439135,Aggressive,63128.93123327309,39,Unemployed,799,Married,Suburban,0
220551,90514.42040092625,85746.23575656442,40324.79730526226,Moderate,9966.161355544056,18,Employed,774,Single,Rural,1
301601,116682.27830217184,114544.02869131039,8982.265793206585,Conservative,92538.67143253425,31,Freelancer,823,Married,Urban,2
479773,301231.15677796176,213156.72224456887,47979.71025138703,Moderate,55846.996573006916,42,Freelancer,356,Married,Rural,0
228261,165262.7769914568,85655.64107511107,19258.131388627025,Conservative,25020.448706354182,53,Freelancer,532,Single,Rural,1
260181,172281.1217889717,40153.36460383316,17078.481647213757,Moderate,20629.18150723635,53,Employed,329,Married,Urban,1
361097,251340.41743501544,132704.31031985584,43730.2897251583,Aggressive,13594.798137220154,58,Freelancer,666,Divorced,Suburban,0
335139,168373.5703625924,63162.3959294965,28193.35159458833,Moderate,42463.74063903507,20,Unemployed,355,Single,Rural,0
191829,120284.0528752075,30496.704450677218,25822.217095141077,Moderate,13554.101309083677,22,Freelancer,309,Divorced,Urban,1
291836,139240.24373322062,24179.08444185504,36348.89597642155,Conservative,41581.641259522614,18,Freelancer,446,Divorced,Urban,1
458974,258288.67918171728,176619.09813642254,28991.71191405452,Moderate,14877.042823411768,36,Unemployed,663,Single,Rural,0
485625,262634.4611742463,179657.17896609468,8125.782237855767,Conservative,65680.75215238893,50,Unemployed,552,Divorced,Urban,0
222283,86344.40264200569,34570.511328123765,33709.881143246486,Moderate,78524.20216863582,59,Freelancer,552,Divorced,Rural,2
216769,106984.03789959717,83937.41303432536,6673.443964106424,Conservative,54952.274752275865,47,Unemployed,742,Divorced,Suburban,2
57065,44619.75907520018,26422.715497180125,40292.8852667031,Moderate,68005.68748548973,29,Employed,639,Single,Rural,2
243165,103172.50918362694,23979.237651797943,49486.82988561355,Conservative,93837.8737084061,27,Unemployed,815,Single,Suburban,2
119299,43771.025967203364,18453.943245306742,18869.381248738813,Moderate,63837.15295706078,51,Employed,652,Single,Urban,2
445822,227052.82494681302,172808.34548371783,22237.794910100627,Conservative,36415.81981838826,33,Unemployed,622,Married,Rural,0
31534,21921.455081306955,5472.032049067493,2321.6827741406155,Aggressive,44948.01586749155,57,Employed,439,Divorced,Urban,1
60397,35699.103317010486,19997.373524666138,686.6594041289143,Conservative,86052.52260720369,63,Employed,744,Married,Rural,2
277750,177895.3791327112,24032.01350515852,46070.96674381638,Moderate,13072.031895009639,46,Freelancer,394,Married,Urban,1
373531,147487.75316676768,94686.78989991077,6431.203021959603,Conservative,32573.702245043267,32,Unemployed,719,Divorced,Suburban,0
283160,172578.68516603322,108334.50717318607,22288.937377973518,Moderate,57728.00689704841,65,Unemployed,813,Single,Rural,0
75591,34904.15917587661,27131.973960862128,40767.731192778076,Conservative,67638.95694084345,28,Unemployed,449,Married,Urban,2
240884,172750.3660023241,100396.22255463597,44465.937996415974,Moderate,76349.90754317053,61,Employed,650,Single,Rural,2
43247,26581.742731773153,19238.57745364326,25969.884264173383,Conservative,31820.679599608713,51,Freelancer,415,Single,Rural,1
44300,17694.666552722803,17628.413097593344,28251.62624879749,Moderate,14585.91340091503,53,Unemployed,536,Divorced,Suburban,1
487281,161927.54018555305,171627.42613516026,33484.198623163626,Conservative,95483.92096765598,47,Freelancer,569,Married,Urban,0
102798,33030.70432414419,6607.353921166967,48069.12350718576,Conservative,7639.221713203948,52,Freelancer,590,Married,Rural,1
29268,14215.59297899216,8509.232068806423,30133.498047225254,Moderate,9580.535578688543,26,Employed,733,Single,Rural,1
368951,159728.3213598728,24706.425987276936,27973.762972817312,Conservative,49494.25419019689,35,Unemployed,308,Divorced,Rural,0
294329,183380.22997429824,121743.45664477382,726.7067632995339,Conservative,81927.10281435984,36,Freelancer,774,Married,Rural,0
214776,118055.26187068387,41736.56870943533,4047.485101117804,Aggressive,77450.41063553268,56,Unemployed,821,Single,Rural,2
237851,102991.7756464289,72091.02507849473,28858.581331199814,Aggressive,93769.92661940918,21,Unemployed,836,Single,Urban,2
452315,169445.74276676695,79494.53688097726,46812.01939036016,Moderate,14160.257561298838,23,Unemployed,310,Single,Rural,0
421787,153361.70315232564,169611.1247789789,43334.567419969746,Conservative,37572.725706243604,68,Freelancer,626,Divorced,Rural,0
256584,187904.2110284785,115187.26393314866,49128.94614961023,Conservative,28214.212872171007,50,Employed,575,Divorced,Rural,0
58044,24479.417599046057,13314.662220346388,26391.7018780637,Moderate,86087.0123554672,49,Employed,669,Single,Urban,2
333358,208633.87908315228,146115.83746521632,39396.546921888345,Conservative,48835.46202812003,33,Freelancer,789,Single,Rural,0
474444,334645.7372087581,80742.66067692547,42020.01657446702,Aggressive,2684.7934415666355,28,Unemployed,644,Divorced,Rural,0
396896,240932.00804198848,115336.9517762424,32401.58286654309,Conservative,70796.44068383965,39,Unemployed,667,Single,Suburban,0
68984,50343.32396996645,30107.55931419692,16937.495210725363,Aggressive,38869.80978266026,53,Employed,610,Single,Suburban,1
322918,160230.89788426596,63500.72812766261,23498.92173288972,Moderate,53114.67633710123,67,Freelancer,784,Divorced,Rural,0
284712,221537.56617202167,136467.87661871038,42895.85361217838,Moderate,89378.7427009998,40,Freelancer,314,Single,Rural,0
140151,51375.50274028223,14694.240324373213,14927.396299108197,Conservative,25673.777463281167,43,Employed,303,Single,Suburban,1
475808,167044.18170364693,27703.340968750927,46187.15656333243,Aggressive,24026.467561217713,48,Freelancer,675,Single,Urban,0
480779,302576.3756807342,219649.13080473547,11490.317071133255,Conservative,26319.25041800893,46,Freelancer,668,Divorced,Urban,0
153767,118618.25806084649,12438.504751401942,37475.820757839036,Moderate,33810.79912597027,22,Employed,764,Divorced,Suburban,1
144375,101703.77488687244,71660.5511992136,31527.96171728692,Aggressive,10735.397464609963,55,Employed,832,Divorced,Rural,1
199262,67392.0881226725,95272.8586802563,37479.97205603811,Conservative,69721.96608085894,42,Freelancer,436,Married,Suburban,2
156330,68735.7773597071,17455.715489690105,21867.37862162974,Moderate,20739.871782913655,51,Freelancer,662,Married,Urban,1
321648,246112.00433515816,93893.25885814309,46632.05312769923,Moderate,92614.57472705857,29,Employed,515,Married,Suburban,0
184231,78579.90406666067,24542.173095201262,31623.61012057387,Conservative,21568.63139098707,39,Employed,667,Married,Urban,1
33986,23470.22901141112,8247.376769770744,14414.790227712814,Moderate,25564.202930877513,26,Unemployed,416,Divorced,Rural,1
81858,58329.235647165915,6355.562203928123,31922.753532607185,Conservative,29702.022881081637,37,Freelancer,478,Single,Rural,1
149312,81782.07223598307,22511.182623887973,14340.787360351558,Conservative,76853.8097011416,46,Freelancer,545,Divorced,Rural,2
32666,16110.036744552537,6973.301125224903,14681.619587993711,Moderate,42760.648744202976,61,Employed,427,Married,Urban,1
320804,168442.0592089943,79364.14270102092,19979.925581043393,Moderate,81933.46240306186,46,Employed,657,Divorced,Suburban,2
154633,63938.01579189968,75750.5805030271,42621.52087845595,Conservative,78485.37123557884,62,Unemployed,377,Single,Rural,2
308998,230109.4071509903,127782.89095327648,25014.893719699598,Aggressive,92949.04227674665,44,Unemployed,592,Married,Urban,0
346649,182098.12669285692,132362.53890360633,33945.04211151037,Aggressive,75660.41551040548,34,Employed,381,Single,Rural,0
124488,92274.20541174947,36309.2396353195,19598.38701372315,Moderate,5191.116966906284,22,Freelancer,641,Single,Suburban,1
203323,71741.85770749168,87022.03910571062,13180.271990344072,Moderate,83728.12736990584,69,Unemployed,637,Single,Rural,2
304806,242057.916126233,61782.7363101936,47732.00803581157,Conservative,93807.25967054113,62,Employed,395,Married,Urban,2
290536,151554.19486675953,107209.12068291867,30179.06235615313,Moderate,99368.91925496691,30,Employed,444,Divorced,Urban,2
50535,16369.06525430806,25126.142938081168,46697.566929135915,Moderate,12526.759413246513,59,Employed,820,Married,Rural,1
491819,156895.6336891484,94224.16391362024,10170.650109915752,Conservative,61327.32693265346,32,Freelancer,696,Married,Rural,0
395713,266355.8562399554,139808.52535169272,7344.708195646637,Moderate,19945.866588415938,32,Employed,656,Divorced,Urban,0
334400,210510.74131885543,143772.5007576505,42791.14535619518,Conservative,26250.9640912599,35,Employed,485,Divorced,Rural,0
371279,260290.81574552626,171573.00568248442,34045.860630862575,Conservative,74558.43382228579,67,Freelancer,842,Divorced,Rural,0
409622,144467.02999640815,152817.56112771988,9328.924962682067,Moderate,97766.77176990603,19,Employed,450,Divorced,Rural,0
317366,100854.29189380191,56371.68050044129,13467.985033176888,Moderate,59485.55014630229,40,Employed,618,Single,Suburban,2
97373,53972.845575689535,19165.632375125362,40033.19707626556,Moderate,85058.44698222473,60,Unemployed,358,Married,Suburban,2
492791,243339.02085881273,29242.767133780202,22693.430999796805,Moderate,888.3803828827919,30,Employed,309,Married,Suburban,0
143684,76292.39182431481,56381.41336708894,33527.025325304545,Aggressive,3663.163984961926,60,Freelancer,423,Married,Rural,1
497867,396199.6731795083,34468.73775306049,15917.601106800545,Moderate,59672.43373258634,21,Unemployed,655,Divorced,Urban,0
476551,374271.23153895774,209250.4749072319,19061.497638743836,Moderate,38898.31016004391,64,Employed,645,Married,Rural,0
293109,226033.26077585993,30306.67232160792,49535.62793115525,Conservative,88975.78149731539,42,Freelancer,536,Single,Rural,2
44538,30816.79256893933,5671.666243879407,12380.854358735927,Conservative,30198.191308573376,28,Employed,632,Married,Suburban,1
390210,186294.32359292058,103185.9273825513,25322.8188518257,Conservative,43205.102750404745,67,Unemployed,316,Married,Urban,0
221664,112176.49526288352,84685.88595658385,42220.11715952661,Moderate,52790.91978315682,65,Freelancer,723,Single,Suburban,2
395396,227276.79261114393,44502.21216710254,11961.1606832929,Moderate,27303.883288624755,59,Unemployed,623,Single,Urban,0
159182,113857.66791971761,39482.22724205591,20760.687834216536,Conservative,90849.48674532943,29,Freelancer,322,Married,Rural,2
492525,164678.8939180299,131643.5957679766,30754.564368499414,Conservative,46453.35846580971,30,Freelancer,758,Divorced,Rural,0
178338,91335.5290174696,25953.268543751958,24059.407573755125,Conservative,42415.560911901695,26,Employed,759,Divorced,Rural,1
204064,69648.8454380761,20814.787060530398,22975.113328515872,Conservative,84975.30489343326,62,Freelancer,820,Married,Urban,2
234020,130426.08420496658,99783.65097869471,18125.48656610618,Aggressive,31197.840164789846,55,Freelancer,720,Married,Suburban,1
118806,89039.2056484424,32803.4702935718,29332.316388746254,Moderate,81746.5344510961,23,Employed,702,Married,Suburban,2
420126,290408.9307086745,23725.169017085213,31218.634896180512,Conservative,12227.285272134946,60,Freelancer,630,Married,Suburban,0
393133,162726.08656798772,161711.95156739836,32664.477045068128,Moderate,18278.853336489963,68,Freelancer,756,Divorced,Urban,0
110982,87453.30823508659,54531.80615063465,3518.405395301466,Moderate,95084.16661717347,60,Freelancer,782,Married,Urban,2
141626,89744.88373686172,45698.00650828219,31551.708785602445,Moderate,84244.7490807708,27,Freelancer,797,Single,Rural,2
139176,42478.442745666485,38505.65331636568,47661.85893906164,Conservative,38789.890145640624,40,Employed,326,Divorced,Suburban,1
413422,176823.3768327664,184091.49931929837,27049.31177640418,Moderate,63845.64487170294,32,Employed,696,Divorced,Urban,0
238126,102479.10762836502,113974.85587719563,35763.35412546222,Conservative,94297.01894309558,62,Unemployed,487,Single,Suburban,2
238969,79965.51615941283,93088.36951533279,27836.61538796089,Aggressive,21185.890286408427,40,Freelancer,439,Married,Suburban,1
142409,111066.66730633749,35666.877821738584,42737.030929598935,Moderate,5901.047022300066,57,Employed,820,Married,Urban,1
43419,23408.383317596014,13742.097421907316,46479.15472987845,Moderate,53746.80645053053,54,Freelancer,391,Married,Urban,2
463852,346918.2963100711,169501.22192044804,9210.994964817965,Conservative,14259.687866359327,51,Employed,376,Married,Rural,0
273618,126167.38081075616,37601.43567766691,21843.00182785633,Conservative,18731.909271137516,33,Unemployed,543,Married,Rural,1
265310,96205.85928576668,66656.60763580442,19619.105046636065,Conservative,89153.91897315794,62,Freelancer,387,Single,Rural,2
70015,37609.82136754178,29645.72113213132,20260.756164963932,Aggressive,740.3458644891336,68,Unemployed,593,Married,Suburban,1
268550,95866.52712626493,92549.42155266559,6276.209061393795,Conservative,81682.00264638686,58,Unemployed,394,Single,Suburban,2
142096,77159.22945554825,33398.50391054103,40680.786299035964,Conservative,51695.07763356076,64,Unemployed,552,Single,Rural,2
127059,96583.71977427836,44281.73109421713,1788.3121507467624,Aggressive,55929.43876453004,49,Employed,698,Single,Suburban,2
205340,115069.26512211862,21191.10554273151,26411.330386357844,Moderate,67176.79604563625,55,Freelancer,353,Married,Suburban,2
130687,79490.34990436888,30146.0832043514,33093.91940223456,Moderate,43144.49923080103,57,Employed,542,Married,Suburban,1
370083,140009.51133528893,150589.67492174183,10373.47190294386,Conservative,11561.188819241475,63,Employed,409,Divorced,Suburban,0
431357,138839.934186353,64370.95400180639,45292.509604939776,Moderate,10282.02238048238,22,Freelancer,520,Divorced,Urban,0
231428,82250.43253567419,30937.91489694913,41927.46035123966,Conservative,75436.21991839426,34,Freelancer,461,Single,Urban,2
125878,75434.37884199829,60153.11807283225,23554.186474196264,Moderate,22103.51432672849,39,Freelancer,334,Divorced,Rural,1
222982,77487.54933235103,32210.626958178604,20557.446617006935,Conservative,2810.1683617644203,56,Freelancer,336,Single,Rural,1
469260,228997.2117669299,78560.39370898705,11828.396260555002,Moderate,97961.38890989411,58,Employed,669,Divorced,Suburban,0
218286,125524.48465742452,106158.41317785253,36499.66123224818,Moderate,98039.15193606933,65,Freelancer,476,Married,Suburban,2
269002,132974.79006851304,102387.23366829459,6587.189981598207,Moderate,37814.13373437799,35,Freelancer,820,Married,Urban,0
270396,103248.52259050583,98645.44686454347,34011.88769218915,Moderate,2552.3844557113207,45,Freelancer,574,Single,Suburban,1
184899,80781.56948402539,80212.30595174771,42122.84930592068,Conservative,72726.46585927496,30,Unemployed,404,Single,Suburban,2
469036,358417.97116858256,47898.13784000767,11423.578795851186,Conservative,83101.20604856692,67,Freelancer,455,Married,Rural,0
344767,219958.29060354052,126764.0362176407,43321.37014493781,Moderate,12501.369011580977,59,Freelancer,635,Married,Suburban,0
494950,271244.4388773049,136932.80473415533,1666.1599719754226,Moderate,13545.861490923628,18,Employed,325,Married,Urban,0
357594,109551.5841849866,151304.38232779503,45639.36926932627,Aggressive,82222.39996967906,67,Unemployed,595,Divorced,Suburban,0
375570,299031.72598091513,104657.75337558916,5918.111392564901,Moderate,92190.73887152348,36,Employed,836,Divorced,Suburban,0
399989,254283.99397678676,131639.82357370056,32287.95889690163,Moderate,79075.48366741496,51,Unemployed,654,Divorced,Suburban,0
435515,199666.74636044184,115404.48798050226,12504.12344569709,Aggressive,20074.494916952957,21,Employed,368,Divorced,Suburban,0
63585,47029.64887298127,16860.930819434256,41827.61955848069,Conservative,41152.12194342209,60,Employed,626,Single,Suburban,1
391369,167981.76240099428,154820.28905483644,25615.018045773326,Moderate,60084.242586591405,20,Freelancer,450,Single,Urban,0
84044,48073.86469041759,27974.45555920012,6762.059562325068,Conservative,16029.34738208287,58,Freelancer,619,Divorced,Rural,1
455773,281683.8400987167,152669.57113420664,28549.578566298922,Conservative,21060.24926325083,27,Unemployed,751,Single,Suburban,0
462296,189787.1561847864,116788.50601542057,20394.130509849158,Moderate,28288.607206855497,45,Unemployed,411,Divorced,Rural,0
129556,102245.418926145,37441.58985837713,33072.39083065506,Moderate,50951.32702908365,51,Unemployed,761,Divorced,Rural,2
22693,15297.259461190695,8749.806949633357,44095.164238172976,Moderate,51080.48871775476,56,Freelancer,661,Married,Urban,1
377403,218481.09237377715,159140.81131301788,20469.45655917092,Moderate,81429.45193475526,64,Employed,502,Divorced,Rural,0
263307,102768.01093087197,95699.62190145407,14494.033976692983,Moderate,75301.02006876256,36,Unemployed,786,Single,Suburban,2
220235,72001.23110910514,102592.69661429306,725.7547263804398,Conservative,91373.56751099421,59,Freelancer,779,Divorced,Suburban,2
45939,21133.31432309073,19255.140728427417,28741.951892993744,Moderate,83290.17228245964,69,Freelancer,303,Married,Suburban,2
462141,312681.6743031779,139954.1821588623,20113.738371571675,Moderate,25387.754830565467,63,Employed,428,Single,Suburban,0
456157,198275.77851977843,160627.81094552708,18732.460950741435,Aggressive,33129.67693039999,53,Employed,325,Married,Urban,0
172906,98518.05393049792,80719.21651820134,9146.766064210626,Conservative,50042.32436325338,60,Freelancer,326,Divorced,Rural,1
38047,25262.203116537294,12503.218960692038,21502.767259563716,Conservative,1427.1134563644594,20,Employed,341,Divorced,Urban,1
308249,109111.471048029,129823.11260852567,49222.097679168415,Moderate,90390.20062837214,40,Employed,363,Divorced,Rural,2
95766,61543.924905676366,34472.382009059416,14887.707683612216,Aggressive,4434.421256233923,34,Freelancer,324,Divorced,Urban,1
428923,148379.66838462776,127978.3399078123,29985.22067040501,Moderate,32244.12708166363,24,Unemployed,371,Single,Urban,0
435192,340565.9713678659,69120.32157263927,38824.34406578334,Moderate,56917.479119640666,43,Unemployed,781,Divorced,Urban,0
64262,34971.19179311657,15532.05366823606,37457.891158826584,Aggressive,51784.13886068658,60,Freelancer,567,Married,Suburban,1
407261,152860.55115101617,197718.80976307174,16438.714374629537,Aggressive,65445.98928258747,35,Unemployed,394,Single,Suburban,0
305920,144147.00096769127,105846.61372283922,30543.00417584252,Moderate,52752.017529420904,63,Freelancer,694,Single,Urban,0
181152,91791.20831136759,55066.20837262589,43563.23426350786,Moderate,22900.14257030344,63,Freelancer,663,Single,Rural,1
148376,100761.02960174614,69711.56752121932,772.3713866538973,Conservative,20107.818779387188,23,Employed,614,Married,Rural,1
